long;str;str
57532;Eye of Acherus;Summons the Eye of Acherus with $s1 health $d that allows vision of nearby area and warns of enemies that attack it.  Right-Click on buff to switch back and forth between Eye of Acherus and normal vision.
57533;Siege Bolt;
57534;Frozen Siegebolt;
57535;Portal: Moonglade;Opens a portal to Moonglade.
57536;Forcecast Portal: Moonglade;Teleports the user to Moonglade.
57537;Severed Essence;Rips the target's soul from its body.  The dark side of the soul forms a ghostly being bound to the caster's will.  Lasts $d.
57538;Insanity Switch;
57539;Portal: Return from Moonglade Effect;Teleports the user to back from Moonglade.
57541;Portal: Return from Moonglade;Opens a portal to Return from Moonglade.
57542;Argent Cannon Assault;BOOM!
57543;Cosmetic - SpecialUnarmed;
57544;Ashbringer;Judgement day has come for the Scourge.
57545;Ashbringer;
57546;Greater Turn Evil;The targeted undead or demon enemy will be compelled to flee for up to $d.  Damage caused may interrupt the effect.  Only one target can be turned at a time.
57547;Touch of the Val'kyr;Inflicts $57548s1 Shadow damage every $t1 sec for $d.
57548;Touch of the Val'kyr;Inflicts $s1 Shadow damage.
57549;Tirion Aggro;
57550;Tirion Aggro;
57551;Twisted Visage Visual Passive;
57552;Cosmetic - Channel Omni (Cast);
57553;Escape Voltarus;Transports wielder a safe distance from Voltarus.
57554;To Icecrown Airship - Teleport to Airship (A) Force Player to Cast;
57555;Twisted Visage Death Visual;
57556;To Icecrown Airship - Teleport to Airship (H) Force Player to Cast;
57557;Pyrobuffet;Inflicts Fire damage to an enemy and increases Fire damage taken for $d.
57558;Clear All Insanity;
57560;Cyclone Aura;Powerful winds knock players back.
57561;Insanity Channel Visual;
57562;Burning Winds;Powerful winds knock players back and can literally tear elementals apart.
57564;Fel Intelligence;Increases party and raid members Intellect by $s1 and Spirit by $s2.
57565;Fel Intelligence;Increases party and raid members Intellect by $s1 and Spirit by $s2.
57566;Fel Intelligence;Increases party and raid members Intellect by $s1 and Spirit by $s2.
57567;Fel Intelligence;Increases party and raid members Intellect by $s1 and Spirit by $s2.
57569;Argent Vanguard Chapter II;
57570;Shadow Breath;Inflicts $s1 Fire damage to enemies in a cone in front of the caster.
57571;Lava Strike;
57572;Lava Strike;
57573;Argent Cannon Gunner;
57575;Tower Destroyed;
57578;Lava Strike;
57579;Shadow Fissure;Deals $57581s1 Shadow damage to any enemy within the Shadow fissure after 5 sec.
57580;Lightning Infusion;"Infuses the target with Lightning; causing an Overload which inflicts $57585s1 Nature damage in an area around the target after $d."
57581;Void Blast;Deals $s1 Shadow damage to any enemy within the Shadow fissure after 5 sec.
57582;Northern Stew;
57583;Icecrown Airship - H - Attack - 03 Cannon Fire;
57584;Summon Ruby Flowers;
57585;Overload;"Sends out a blast wave of magic; inflicting Nature damage to nearby enemies."
57586;Repair Building;
57587;Steal Ranged;"Disarms an enemy; forcing it to stop wielding its weapon for $d."
57588;Ruby Flower Aura;
57589;Shoot;"Shoots at an enemy; inflicting Physical damage."
57590;Steal Ranged;"Steals an enemy's ranged weapon; forcing it to stop wielding its ranged weapon for $d."
57591;Lava Strike;Deals Fire damage in a small area.
57592;Repair Building;Repairs damaged buildings.
57593;Copy Ranged Weapon;"Copies an enemy's off-hand weapon; weilding it."
57594;Copy Ranged Weapon;Wields an ranged weapon.
57596;Mangle!;Increases your next attack by $s1 damage and reduces the target's armor by $s2%.
57597;Summon Dahlia's Tears;
57598;Cyclone Aura 2;"Jets of Lava shoot into the air and land on the battlefield; dealing Fire damage in an area."
57599;Plague Strike;"A vicious strike that deals $s2% weapon damage plus ${$m1*$m2/100} and infects the target with Blood Plague; a disease dealing Shadow damage over time.  The strike removes one heal over time effect from the target."
57601;Blood Plague;A disease dealing Shadow damage over $d.  Has a 50% chance to remove one heal over time effect whenever it does damage.
57602;Death Grip;"Harness the unholy energy that surrounds and binds all matter; drawing the target toward the death knight and forcing the enemy to attack the death knight for $49560d."
57603;Death Grip;"Harness the unholy energy that surrounds and binds all matter; drawing the target toward the death knight and forcing the enemy to attack the death knight for $49560d."
57604;Death Grip;"Draws your target before you with a beam of unholy power. This will also taunt the target; forcing enemies to attack you for $49560d."
57605;Force Reaction Test - LAB;
57606;Plague Barrel;Hurls a plague barrel into the distance.
57607;Plague Slime;Inflicts Nature damage to nearby enemies.
57608;Powering Up The Core;Powers up the Argent Cannon. Once full of power the cannon may unleash the RECKONING BOMB!
57609;Fire Cannon;"Fires a cannon blast; dealing up to $51383s1 damage and $51383s2 siege damage to nearby structures."
57610;Cannon;"Fires a cannon blast; dealing up to $51383s1 damage and $51383s2 siege damage to nearby structures."
57611;Out of Jotunheim!;
57612;Summon Water Terror;Draws out a Water Terror that the character will possess through the power imbued in them by The Bone Witch. May only be possessed within the greater Jotunheim region.
57613;Icecrown Airship - N - Attack - Target Smoking Aura;
57615;Possessing a Water Terror;
57616;Crystal Spike;"Spits a Crystal Spike at the target; inflicting $s1 Frost damage."
57617;Icetip Poison;"Shoots poison at an enemy; inflicting Nature damage."
57618;Hurl Boulder;"Hurls a flaming boulder; which deals up to $57619s1 damage to enemies and $57619s2 siege damage to nearby structures."
57619;Boulder;"Hurls a flaming boulder; which deals up to $57619s1 damage to enemies and $57619s2 siege damage to nearby structures."
57620;Twilight Shift;Phase shifts the target to the Twilight realm.
57621;Strength of Earth;
57622;Strength of Earth Totem;Summons a Strength of Earth Totem with $s1 health at the feet of the caster.  The totem increases the strength and agility of all party and raid members within $57621a1 yards by $57621s2.  Lasts $d.
57623;Horn of Winter;"The Death Knight blows the Horn of Winter; which generates 10 runic power and increases total Strength and Agility of all party or raid members within $a1 yards by $s1.  Lasts $d."
57625;Icecrown Airship - A - Attack - Tell Cannon to Fire;
57626;Feign Death;
57627;Charge;
57628;Fireball;Inflicts Fire damage to an enemy.
57629;Frost Nova;"Inflicts Frost damage to nearby enemies; immobilizing them for up to $d."
57630;Portal Visual;
57632;Icecrown Airship - A - Attack - Tell Cannon to Fire - Evens;
57634;Magma;Inflicts $s1 Fire damage every $t1 sec.
57635;Disengage;"You attempt to disengage from the target; leaping backwards. Must be facing the target."
57636;Disengage;
57637;Icecrown Airship - A - Attack - Tell Cannon to Fire - Odds;
57638;Icecrown Airship - A - Attack - Tell Cannon to Fire - All;
57639;Icecrown Airship - A - Attack - Tell Cannon to Fire - Random;
57640;Sinister Strike;Inflicts $s1% weapon damage to an enemy.
57641;Eviscerate;Finishing move that causes damage.
57642;Icecrown Airship - A - Attack - Tell Cannon to Fire - Single (AoE);
57643;Spell Reflection;"Raise your shield; reflecting the next spell cast on you.  Lasts $d."
57644;Shadow Bolt;"Hurls a bolt of dark magic at an enemy; inflicting Shadow damage."
57645;Corruption;"Corrupts nearby enemies; inflicting Shadow damage every $t1 sec. for $d."
57647;Moonfire;Burns the enemy for Arcane damage and inflicts additional damage over $d.
57648;Wrath;"Hurls a bolt of lightning at an enemy; inflicting Nature damage."
57649;Food;Restores $o1 health over $d.  Must remain seated while eating.
57650;Frozen Siegebolt;
57651;Create Crisp Dalaran Apple;
57652;Crashing Wave;"You cause a Crashing Wave that does $s2 Nature damage when in contact with hostile targets in front of you within $a2 yards; knocking them back 30 yards. Double damage to Frozen targets."
57653;Dalaran Apple Bowl;Right Click to set out a bowl of ten crisp Dalaran apples.
57654;Portal: Moonglade Effect;Teleports the user to Moonglade.
57655;Cat Form;"Shapeshift into cat form; increasing melee attack power by $3025s1 plus Agility.  Also protects the caster from Polymorph effects and allows the use of various cat abilities.



The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects."
57657;Mangle;"Mangle the target for $s3% normal damage plus ${$m1*$m3/100} and causes the target to take $s2% additional damage from Maul; Shred; and bleed effects for $d.  Awards $34071s1 combo $lpoint:points;."
57658;Totem of Wrath;
57659;Icecrown Airship - A - Attack - Tell Cannon to Fire - Single Start A;
57660;Totem of Wrath;
57661;Rip;Finishing move that causes damage over time.
57662;Totem of Wrath;
57663;Totem of Wrath;
57664;The Art of Being a Water Terror: Mod Health Regen %;
57665;Frostbolt;Inflicts Frost damage to an enemy and reduces its movement speed for $d.
57666;Frozen Siegebolt;
57667;Frozen Siegebolt;
57668;Frost Nova;"Inflicts Frost damage to nearby enemies; immobilizing them for up to $d."
57669;Replenishment;Replenishes $s1% of maximum mana per 5 sec for $57669d.
57670;Forcecast Portal: Return from Moonglade;Teleports the user to Moonglade.
57671;The Art of Being a Water Terror: Quest Complete Script Effect;
57672;Fate Rune of Baneful Intent;Increases all damage dealt by $s1%.  May only be used within Icecrown.
57673;Argent Vanguard Chapter I;
57674;Argent Vanguard Chapter III;
57675;Argent Vanguard Chapter IV;
57676;Portal: Shattrath;"Creates a portal; teleporting group members that use it to Shattrath."
57677;Portal Effect: Shattrath;
57678;Emerald Acorn Effect;
57679;Breath of Alexstrasza Effect;
57680;Forcecast Breath of Alexstrasza;
57681;Breath of Alexstrasza Flowers;
57682;Chapter III Periodic Trigger;
57683;Fur Lining - Attack Power;"Permanently enchant bracers to increase attack power by 130.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57685;Permanent Feign Death;
57686;Infused Mushroom Meatloaf;"Combine 4 Infused Mushrooms; 2 Chilled Meats and cook over a fire for 2 seconds.   Presto!"
57687;Teleportation Portal Visual;
57688;Focused Anger;"Enrages the caster when focused by attacks and spells; increasing damage and attack speed."
57689;Focused Anger;"Enrages the caster when hit by attacks and spells; increasing attack speed and damage dealt. Stacks."
57690;Fur Lining - Stamina;"Permanently enchant bracers to increase Stamina by 102.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57691;Fur Lining - Spell Power;"Permanently enchant bracers to increase spell power by 76.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57692;Fur Lining - Fire Resist;"Permanently enchant bracers to increase your Fire resistance by 70.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57693;Increased Fire Resist 60;#NAVN?
57694;Fur Lining - Frost Resist;"Permanently enchant bracers to increase your Frost resistance by 70.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57695;Increased Frost Resist 60;#NAVN?
57696;Fur Lining - Shadow Resist;"Permanently enchant bracers to increase your Shadow resistance by 70.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57697;Lava Strike;
57698;Increased Shadow Resist 60;#NAVN?
57699;Fur Lining - Nature Resist;"Permanently enchant bracers to increase your Nature resistance by 70.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57700;Increased Nature Resist 60;#NAVN?
57701;Fur Lining - Arcane Resist;"Permanently enchant bracers to increase your Arcane resistance by 70.



Can only be used on the leatherworker's bracers; and doing so will cause them to become soulbound.  Fur Lining requires at least 400 skill in Leatherworking to remain active."
57702;Increased Arcane Resist 60;#NAVN?
57703;Hunter's Ink;
57704;Lion's Ink;
57706;Dawnstar Ink;
57707;Jadefire Ink;
57708;Royal Ink;
57709;Celestial Ink;
57710;Fiery Ink;
57711;Shimmering Ink;
57712;Ink of the Sky;
57713;Ethereal Ink;
57714;Darkflame Ink;
57715;Ink of the Sea;
57716;Snowfall Ink;
57718;Harpoon Loot Sparkles;
57719;Glyph of Fire Blast;
57720;Totem of Wrath;"Summons a Totem of Wrath with $s1 health at the feet of the caster.  The totem increases spell power by $57660s2 for all party and raid members; and increases the critical strike chance of of all attacks by $30708s1% against all enemies within $30708a1 yards.  Lasts $d."
57721;Totem of Wrath;"Summons a Totem of Wrath with $s1 health at the feet of the caster.  The totem increases the spell power by $57662s2 for all party and raid members; and increases the critical strike chance of all attacks by $30708s1% against all enemies within $30708a1 yards.  Lasts $d."
57722;Totem of Wrath;"Summons a Totem of Wrath with $s1 health at the feet of the caster.  The totem increases spell power by $57663s2 for all party and raid members; and increases the critical strike chance of all attacks by $30708s1% against all enemies within $30708a1 yards.  Lasts $d."
57723;Exhaustion;Cannot benefit from Heroism.
